Round 204, Train Loss 0.941, Train Acc 64.91, Test Loss 1.391, Test Acc 53.35
Round 205, Train Loss 0.947, Train Acc 65.19, Test Loss 1.396, Test Acc 53.65
Round 206, Train Loss 1.020, Train Acc 65.23, Test Loss 1.392, Test Acc 53.30
Round 207, Train Loss 0.987, Train Acc 65.11, Test Loss 1.395, Test Acc 53.19
Round 208, Train Loss 0.999, Train Acc 65.33, Test Loss 1.384, Test Acc 53.10
Round 209, Train Loss 0.938, Train Acc 65.32, Test Loss 1.391, Test Acc 53.14
Round 210, Train Loss 0.986, Train Acc 65.36, Test Loss 1.388, Test Acc 53.54
Round 211, Train Loss 0.976, Train Acc 65.29, Test Loss 1.387, Test Acc 53.10
Round 212, Train Loss 0.946, Train Acc 65.58, Test Loss 1.389, Test Acc 53.63
Round 213, Train Loss 0.986, Train Acc 65.49, Test Loss 1.390, Test Acc 53.11
Round 214, Train Loss 0.958, Train Acc 65.47, Test Loss 1.394, Test Acc 53.23
Round 215, Train Loss 0.966, Train Acc 65.69, Test Loss 1.389, Test Acc 53.34
Round 216, Train Loss 0.964, Train Acc 65.84, Test Loss 1.390, Test Acc 53.07
Round 217, Train Loss 0.929, Train Acc 65.98, Test Loss 1.393, Test Acc 53.35
Round 218, Train Loss 0.986, Train Acc 65.75, Test Loss 1.401, Test Acc 53.19
Round 219, Train Loss 0.938, Train Acc 65.78, Test Loss 1.397, Test Acc 53.52
Round 220, Train Loss 0.961, Train Acc 65.75, Test Loss 1.396, Test Acc 53.23
Round 221, Train Loss 0.993, Train Acc 65.58, Test Loss 1.397, Test Acc 53.25
Round 222, Train Loss 0.974, Train Acc 65.79, Test Loss 1.390, Test Acc 53.54
Round 223, Train Loss 0.966, Train Acc 65.85, Test Loss 1.386, Test Acc 53.45
Round 224, Train Loss 0.986, Train Acc 66.15, Test Loss 1.384, Test Acc 53.31
Round 225, Train Loss 0.984, Train Acc 65.99, Test Loss 1.396, Test Acc 53.34
Round 226, Train Loss 0.929, Train Acc 66.17, Test Loss 1.396, Test Acc 53.51
Round 227, Train Loss 0.940, Train Acc 66.18, Test Loss 1.395, Test Acc 53.25
Round 228, Train Loss 0.956, Train Acc 66.03, Test Loss 1.401, Test Acc 53.34
Round 229, Train Loss 0.973, Train Acc 66.38, Test Loss 1.404, Test Acc 53.22
Round 230, Train Loss 0.974, Train Acc 65.89, Test Loss 1.400, Test Acc 53.00
Round 231, Train Loss 0.936, Train Acc 66.32, Test Loss 1.392, Test Acc 53.00
Round 232, Train Loss 0.931, Train Acc 66.01, Test Loss 1.398, Test Acc 53.67
Round 233, Train Loss 0.929, Train Acc 66.43, Test Loss 1.391, Test Acc 53.57
Round 234, Train Loss 0.958, Train Acc 66.65, Test Loss 1.387, Test Acc 53.55
Round 235, Train Loss 0.960, Train Acc 66.27, Test Loss 1.390, Test Acc 53.03
Round 236, Train Loss 0.921, Train Acc 66.19, Test Loss 1.392, Test Acc 53.44
Round 237, Train Loss 0.930, Train Acc 66.42, Test Loss 1.399, Test Acc 53.43
Round 238, Train Loss 0.925, Train Acc 66.44, Test Loss 1.395, Test Acc 53.03
Round 239, Train Loss 0.961, Train Acc 66.47, Test Loss 1.388, Test Acc 53.86
Round 240, Train Loss 0.937, Train Acc 66.21, Test Loss 1.394, Test Acc 53.30
Round 241, Train Loss 0.951, Train Acc 66.56, Test Loss 1.394, Test Acc 53.35
