Round 662, Average loss 1.010
Round 663, Average loss 1.037
Round 664, Average loss 0.994
Round 665, Average loss 1.014
Round 666, Average loss 1.034
Round 667, Average loss 1.016
Round 668, Average loss 1.039
Round 669, Average loss 1.006
Round 670, Average loss 1.036
Round 671, Average loss 0.987
Round 672, Average loss 1.013
Round 673, Average loss 1.038
Round 674, Average loss 1.011
Round 675, Average loss 1.011
Round 676, Average loss 1.053
Round 677, Average loss 1.037
Round 678, Average loss 1.030
Round 679, Average loss 1.026
Round 680, Average loss 0.991
Round 681, Average loss 1.040
Round 682, Average loss 1.002
Round 683, Average loss 1.021
Round 684, Average loss 1.019
Round 685, Average loss 1.004
Round 686, Average loss 1.029
Round 687, Average loss 0.994
Round 688, Average loss 0.997
Round 689, Average loss 1.028
Round 690, Average loss 0.998
Round 691, Average loss 1.023
Round 692, Average loss 1.010
Round 693, Average loss 0.991
Round 694, Average loss 1.003
Round 695, Average loss 1.025
Round 696, Average loss 1.013
Round 697, Average loss 1.049
Round 698, Average loss 1.035
Round 699, Average loss 1.044
Round 700, Average loss 1.030
Round 701, Average loss 1.036
Round 702, Average loss 0.994
Round 703, Average loss 1.036
Round 704, Average loss 1.011
Round 705, Average loss 1.023
Round 706, Average loss 1.020
Round 707, Average loss 1.035
Round 708, Average loss 1.039
Round 709, Average loss 1.018
Round 710, Average loss 1.050
Round 711, Average loss 0.967
Round 712, Average loss 1.052
Round 713, Average loss 1.028
Round 714, Average loss 0.989
Round 715, Average loss 1.009
Round 716, Average loss 0.997
Round 717, Average loss 0.978
Round 718, Average loss 0.997
Round 719, Average loss 1.017
Round 720, Average loss 0.991
Round 721, Average loss 1.005
Round 722, Average loss 0.994
Round 723, Average loss 1.003
Round 724, Average loss 1.005
Round 725, Average loss 1.019
Round 726, Average loss 1.060
Round 727, Average loss 1.014
Round 728, Average loss 0.995
Round 729, Average loss 1.023
Round 730, Average loss 1.037
Round 731, Average loss 0.999
Round 732, Average loss 1.014
Round 733, Average loss 0.988
Round 734, Average loss 0.999
Round 735, Average loss 0.961
Round 736, Average loss 0.998
Round 737, Average loss 0.951
Round 738, Average loss 0.977
Round 739, Average loss 1.030
Round 740, Average loss 0.995
Round 741, Average loss 1.015
Round 742, Average loss 1.023
Round 743, Average loss 1.003
Round 744, Average loss 0.994
Round 745, Average loss 1.063
Round 746, Average loss 1.013
Round 747, Average loss 0.976
Round 748, Average loss 1.014
Round 749, Average loss 1.004
Round 750, Average loss 1.015
Round 751, Average loss 0.986
Round 752, Average loss 1.043
Round 753, Average loss 1.011
Round 754, Average loss 1.039
Round 755, Average loss 0.965
Round 756, Average loss 0.998
Round 757, Average loss 1.048
Round 758, Average loss 0.996
Round 759, Average loss 1.004
Round 760, Average loss 0.971
Round 761, Average loss 1.020
Round 762, Average loss 0.991
Round 763, Average loss 1.052
Round 764, Average loss 0.994
Round 765, Average loss 1.016
Round 766, Average loss 1.035
Round 767, Average loss 1.001
Round 768, Average loss 1.034
Round 769, Average loss 1.026
Round 770, Average loss 1.007
Round 771, Average loss 1.009
Round 772, Average loss 0.993
Round 773, Average loss 0.958
Round 774, Average loss 1.014
Round 775, Average loss 0.998
Round 776, Average loss 1.034
Round 777, Average loss 0.991
Round 778, Average loss 0.976
Round 779, Average loss 0.996
Round 780, Average loss 1.001
Round 781, Average loss 1.003
Round 782, Average loss 1.036
Round 783, Average loss 1.016
Round 784, Average loss 1.023
Round 785, Average loss 1.001
Round 786, Average loss 0.981
Round 787, Average loss 0.992
Round 788, Average loss 1.039
Round 789, Average loss 0.987
Round 790, Average loss 0.976
Round 791, Average loss 1.001
Round 792, Average loss 1.011
Round 793, Average loss 1.040
Round 794, Average loss 1.025
Round 795, Average loss 0.990
Round 796, Average loss 0.981
Round 797, Average loss 1.008
Round 798, Average loss 0.953
Round 799, Average loss 0.968
Round 800, Average loss 1.000
Round 801, Average loss 1.008
Round 802, Average loss 1.025
Round 803, Average loss 0.988
Round 804, Average loss 1.005
Round 805, Average loss 1.008
Round 806, Average loss 0.972
Round 807, Average loss 1.020
Round 808, Average loss 1.005
Round 809, Average loss 0.976
Round 810, Average loss 0.988
Round 811, Average loss 0.991
Round 812, Average loss 1.009
Round 813, Average loss 0.988
Round 814, Average loss 0.985
Round 815, Average loss 0.951
Round 816, Average loss 1.050
Round 817, Average loss 0.977
Round 818, Average loss 0.961
Round 819, Average loss 1.034
Round 820, Average loss 1.029
Round 821, Average loss 1.009
Round 822, Average loss 0.960
Round 823, Average loss 1.013
Round 824, Average loss 1.004
Round 825, Average loss 1.003
Round 826, Average loss 0.999
Round 827, Average loss 0.958
Round 828, Average loss 0.968
Round 829, Average loss 1.017
Round 830, Average loss 1.038
Round 831, Average loss 0.955
Round 832, Average loss 0.979
Round 833, Average loss 0.955
Round 834, Average loss 0.985
Round 835, Average loss 0.984
Round 836, Average loss 0.973
Round 837, Average loss 0.999
Round 838, Average loss 1.023
Round 839, Average loss 1.015
Round 840, Average loss 0.986
Round 841, Average loss 0.994
Round 842, Average loss 1.028
Round 843, Average loss 0.977
Round 844, Average loss 0.995
Round 845, Average loss 1.019
Round 846, Average loss 1.015
Round 847, Average loss 0.955
Round 848, Average loss 0.983
Round 849, Average loss 0.971
Round 850, Average loss 0.981
Round 851, Average loss 0.971
Round 852, Average loss 0.998
Round 853, Average loss 0.997
Round 854, Average loss 1.012
Round 855, Average loss 1.004
Round 856, Average loss 0.954
Round 857, Average loss 1.012
Round 858, Average loss 1.004
Round 859, Average loss 0.997
Round 860, Average loss 1.019
Round 861, Average loss 0.985
Round 862, Average loss 0.950
Round 863, Average loss 0.988
Round 864, Average loss 1.029
Round 865, Average loss 0.959
Round 866, Average loss 0.971
Round 867, Average loss 1.010
Round 868, Average loss 0.987
Round 869, Average loss 0.977
Round 870, Average loss 0.984
Round 871, Average loss 0.974
Round 872, Average loss 0.980
Round 873, Average loss 1.007
Round 874, Average loss 0.961
Round 875, Average loss 0.953
Round 876, Average loss 0.965
Round 877, Average loss 0.984
